total_trades,win_rate,total_pnl,avg_pnl,max_pnl,min_pnl,long_threshold,short_threshold,exit_threshold
0,0.0,0.0,0.0,0.0,0.0,-0.005,0.003,0.0005
0,0.0,0.0,0.0,0.0,0.0,-0.003,0.003,0.001
0,0.0,0.0,0.0,0.0,0.0,-0.003,0.007,0.002
0,0.0,0.0,0.0,0.0,0.0,-0.003,0.007,0.001
0,0.0,0.0,0.0,0.0,0.0,-0.003,0.007,0.0005
0,0.0,0.0,0.0,0.0,0.0,-0.003,0.005,0.002
0,0.0,0.0,0.0,0.0,0.0,-0.005,0.003,0.001
0,0.0,0.0,0.0,0.0,0.0,-0.003,0.005,0.0005
0,0.0,0.0,0.0,0.0,0.0,-0.003,0.003,0.002
0,0.0,0.0,0.0,0.0,0.0,-0.003,0.005,0.001
0,0.0,0.0,0.0,0.0,0.0,-0.003,0.003,0.0005
0,0.0,0.0,0.0,0.0,0.0,-0.005,0.007,0.001
0,0.0,0.0,0.0,0.0,0.0,-0.005,0.007,0.0005
0,0.0,0.0,0.0,0.0,0.0,-0.005,0.005,0.002
0,0.0,0.0,0.0,0.0,0.0,-0.005,0.005,0.001
0,0.0,0.0,0.0,0.0,0.0,-0.005,0.005,0.0005
0,0.0,0.0,0.0,0.0,0.0,-0.005,0.003,0.002
0,0.0,0.0,0.0,0.0,0.0,-0.005,0.007,0.002
1,0.0,-0.09806072515950223,-0.09806072515950223,-0.09806072515950223,-0.09806072515950223,-0.001,0.005,0.001
1,0.0,-0.09806072515950223,-0.09806072515950223,-0.09806072515950223,-0.09806072515950223,-0.001,0.003,0.001
1,0.0,-0.09806072515950223,-0.09806072515950223,-0.09806072515950223,-0.09806072515950223,-0.001,0.007,0.001
1,0.0,-0.151606258255379,-0.151606258255379,-0.151606258255379,-0.151606258255379,-0.001,0.007,0.0005
1,0.0,-0.151606258255379,-0.151606258255379,-0.151606258255379,-0.151606258255379,-0.001,0.003,0.0005
1,0.0,-0.151606258255379,-0.151606258255379,-0.151606258255379,-0.151606258255379,-0.001,0.005,0.0005
3,0.0,-0.4424949216856357,-0.14749830722854523,-0.0546228142693402,-0.2903500697124862,-0.001,0.005,0.002
3,0.0,-0.4424949216856357,-0.14749830722854523,-0.0546228142693402,-0.2903500697124862,-0.001,0.003,0.002
3,0.0,-0.4424949216856357,-0.14749830722854523,-0.0546228142693402,-0.2903500697124862,-0.001,0.007,0.002
